naziv_usluge,kategorija,maloprodajna_cijena,posebni_oblik_prodaje,naziv_posebnog_oblika_prodaje,sidrena_cijena,datum_sidrene_cijene
Klinički fizikalni pregled,Pregled i terapija,50.00,NE,,50.00,10.09.2026
Manualna terapija,Pregled i terapija,45.00,NE,,45.00,10.09.2026
Individualna kineziterapija,Pregled i terapija,45.00,NE,,45.00,10.09.2026
Kinesiotape,Pregled i terapija,15.00,NE,,15.00,10.09.2026
Konzultacije,Pregled i terapija,0.00,NE,,0.00,10.09.2026
TECAR terapija,Fizikalna terapija uz korištenje aparata,35.00,NE,,35.00,10.09.2026
Game Ready,Fizikalna terapija uz korištenje aparata,15.00,NE,,15.00,10.09.2026
Elektroterapija,Fizikalna terapija uz korištenje aparata,15.00,NE,,15.00,10.09.2026
Laser,Fizikalna terapija uz korištenje aparata,15.00,NE,,15.00,10.09.2026
Terapijski ultrazvuk,Fizikalna terapija uz korištenje aparata,15.00,NE,,15.00,10.09.2026
Magnetoterapija,Fizikalna terapija uz korištenje aparata,15.00,NE,,15.00,10.09.2026
Kinetec,Fizikalna terapija uz korištenje aparata,15.00,NE,,15.00,10.09.2026
